nodeId,kmeans_cluster,louvain_cluster,subject
1059953,3,5,Theory
3231,5,1,Theory
63477,5,1,Case_Based
23069,2,19,Probabilistic_Methods
561674,2,11,Neural_Networks
166420,5,5,Theory
13982,3,5,Theory
84021,1,54,Genetic_Algorithms
610529,0,92,Neural_Networks
236759,0,16,Neural_Networks
31349,3,0,Neural_Networks
1102548,0,55,Case_Based
1133846,0,99,Neural_Networks
118559,4,14,Reinforcement_Learning
1105428,6,25,Rule_Learning
129042,6,12,Case_Based
4335,4,21,Probabilistic_Methods
321004,0,59,Genetic_Algorithms
8874,1,54,Genetic_Algorithms
1119004,0,68,Neural_Networks
8617,1,5,Neural_Networks
950305,4,34,Neural_Networks
1105764,7,2,Reinforcement_Learning
189774,2,42,Probabilistic_Methods
23738,5,1,Theory
22886,6,18,Case_Based
1154173,0,48,Probabilistic_Methods
561581,2,11,Probabilistic_Methods
135130,1,41,Reinforcement_Learning
1131116,1,54,Genetic_Algorithms
78555,0,68,Neural_Networks
1129573,1,41,Genetic_Algorithms
33325,3,0,Theory
3187,2,42,Probabilistic_Methods
662250,0,76,Neural_Networks
3240,5,24,Theory
1105116,4,3,Probabilistic_Methods
1153816,1,54,Genetic_Algorithms
134314,2,19,Probabilistic_Methods
131117,4,37,Neural_Networks
20179,6,12,Case_Based
1134056,0,43,Neural_Networks
1125393,5,1,Case_Based
51934,5,37,Neural_Networks
5600,6,12,Case_Based
682666,7,2,Reinforcement_Learning
85299,4,2,Neural_Networks
16476,0,9,Neural_Networks
105856,4,9,Neural_Networks
96851,1,54,Genetic_Algorithms
380341,0,83,Neural_Networks
1130927,4,14,Neural_Networks
5462,4,21,Neural_Networks
1131741,4,14,Genetic_Algorithms
87915,2,19,Probabilistic_Methods
1115959,1,26,Neural_Networks
22835,4,14,Neural_Networks
6913,4,21,Probabilistic_Methods
1138970,3,0,Theory
112378,5,24,Case_Based
6941,5,1,Rule_Learning
358894,2,42,Theory
240791,1,54,Genetic_Algorithms
31097,5,1,Case_Based
575077,1,54,Genetic_Algorithms
300071,2,3,Probabilistic_Methods
608191,1,54,Genetic_Algorithms
154982,4,14,Probabilistic_Methods
32083,1,14,Neural_Networks
289779,1,54,Genetic_Algorithms
510718,2,2,Probabilistic_Methods
94416,5,1,Rule_Learning
379288,6,18,Case_Based
93273,3,5,Theory
19231,7,2,Theory
28485,7,2,Reinforcement_Learning
36131,2,3,Probabilistic_Methods
273949,4,9,Theory
300806,4,3,Neural_Networks
1152150,4,6,Neural_Networks
32688,4,21,Neural_Networks
593068,1,54,Genetic_Algorithms
648369,0,71,Neural_Networks
39904,4,14,Neural_Networks
3112,6,12,Case_Based
1139195,0,17,Case_Based
1120169,5,1,Theory
48764,1,54,Reinforcement_Learning
1152272,3,3,Neural_Networks
17811,5,1,Genetic_Algorithms
19621,4,14,Neural_Networks
1131270,2,11,Probabilistic_Methods
3932,6,12,Case_Based
118259,7,2,Reinforcement_Learning
315789,0,17,Genetic_Algorithms
1119216,0,53,Probabilistic_Methods
118260,7,2,Reinforcement_Learning
409725,0,23,Rule_Learning
114966,0,39,Neural_Networks
375825,0,44,Probabilistic_Methods
124952,0,3,Probabilistic_Methods
144679,1,54,Case_Based
126868,0,72,Case_Based
309476,3,5,Theory
1135108,4,21,Probabilistic_Methods
1112417,0,85,Probabilistic_Methods
1115166,6,12,Case_Based
52003,0,35,Neural_Networks
102938,0,38,Neural_Networks
1129572,3,0,Neural_Networks
84459,0,21,Theory
1152740,1,2,Reinforcement_Learning
192734,3,1,Theory
594011,0,54,Genetic_Algorithms
12330,4,13,Neural_Networks
1113551,1,54,Case_Based
93320,7,14,Reinforcement_Learning
44368,1,54,Genetic_Algorithms
46501,5,42,Theory
120039,5,24,Case_Based
127033,1,41,Genetic_Algorithms
149139,0,75,Theory
642930,0,100,Neural_Networks
58436,1,54,Case_Based
72805,0,74,Rule_Learning
1112369,4,14,Neural_Networks
248823,7,18,Reinforcement_Learning
643239,2,11,Probabilistic_Methods
42848,4,21,Genetic_Algorithms
1131550,1,54,Genetic_Algorithms
1131163,0,65,Neural_Networks
58552,4,21,Neural_Networks
1127863,5,1,Rule_Learning
686559,3,0,Neural_Networks
434,7,2,Reinforcement_Learning
711598,5,1,Theory
75693,0,37,Reinforcement_Learning
189721,0,3,Probabilistic_Methods
108047,1,54,Genetic_Algorithms
56115,1,41,Genetic_Algorithms
124734,3,5,Theory
1119295,5,1,Rule_Learning
151430,5,1,Rule_Learning
40922,5,24,Case_Based
158614,5,1,Theory
1152714,4,9,Neural_Networks
1104946,4,37,Theory
1154232,2,42,Probabilistic_Methods
14090,2,11,Probabilistic_Methods
1105810,6,12,Case_Based
1140289,4,14,Neural_Networks
1133469,1,2,Reinforcement_Learning
314459,0,36,Neural_Networks
23116,4,21,Theory
644363,2,11,Probabilistic_Methods
1116328,3,1,Neural_Networks
67246,4,14,Neural_Networks
650834,1,54,Genetic_Algorithms
84020,5,1,Probabilistic_Methods
119712,4,21,Genetic_Algorithms
131318,4,37,Neural_Networks
103515,1,54,Genetic_Algorithms
134316,2,19,Probabilistic_Methods
35854,3,5,Theory
95589,7,4,Reinforcement_Learning
128383,6,12,Case_Based
1119471,3,5,Theory
157805,3,5,Theory
342802,4,16,Neural_Networks
446271,4,37,Probabilistic_Methods
593091,1,54,Genetic_Algorithms
28389,7,25,Reinforcement_Learning
1130356,0,21,Theory
249421,1,37,Neural_Networks
1132406,0,79,Neural_Networks
1131167,2,11,Probabilistic_Methods
92065,4,21,Neural_Networks
78557,0,68,Neural_Networks
400473,4,37,Neural_Networks
1136397,4,21,Neural_Networks
33303,6,12,Case_Based
110164,6,12,Case_Based
648106,0,31,Neural_Networks
41732,1,54,Reinforcement_Learning
529165,0,95,Neural_Networks
1152917,4,21,Probabilistic_Methods
1125597,1,54,Genetic_Algorithms
28026,6,18,Case_Based
1154176,1,54,Genetic_Algorithms
1125953,5,1,Rule_Learning
85324,4,13,Neural_Networks
156977,4,13,Neural_Networks
189655,2,42,Probabilistic_Methods
1125402,2,25,Probabilistic_Methods
102061,1,14,Genetic_Algorithms
608292,1,54,Genetic_Algorithms
38722,3,5,Theory
1105148,0,37,Reinforcement_Learning
95718,4,21,Theory
116021,7,2,Theory
601462,0,54,Genetic_Algorithms
24476,0,19,Probabilistic_Methods
102879,3,5,Theory
755082,4,21,Probabilistic_Methods
385572,4,14,Neural_Networks
646440,2,11,Probabilistic_Methods
636500,4,21,Theory
1132922,4,14,Neural_Networks
194645,6,18,Reinforcement_Learning
672071,4,21,Neural_Networks
57922,3,5,Theory
54131,1,54,Genetic_Algorithms
328370,5,21,Neural_Networks
31353,3,0,Neural_Networks
118873,1,26,Neural_Networks
1119140,4,14,Neural_Networks
193347,0,23,Rule_Learning
634938,1,54,Genetic_Algorithms
1129798,0,54,Genetic_Algorithms
767763,4,9,Theory
91975,7,2,Reinforcement_Learning
74698,2,19,Probabilistic_Methods
128203,5,4,Theory
80491,0,36,Neural_Networks
1688,1,54,Genetic_Algorithms
175909,6,18,Case_Based
97892,5,1,Case_Based
10981,4,14,Neural_Networks
672064,7,21,Neural_Networks
1108363,6,12,Case_Based
1131334,2,11,Probabilistic_Methods
1107418,1,54,Genetic_Algorithms
330208,4,16,Neural_Networks
18833,1,2,Reinforcement_Learning
28649,3,5,Theory
131315,4,3,Neural_Networks
35863,4,2,Reinforcement_Learning
644448,2,11,Probabilistic_Methods
66556,1,54,Genetic_Algorithms
90655,0,32,Neural_Networks
70441,6,12,Case_Based
1127530,2,42,Probabilistic_Methods
24974,4,21,Neural_Networks
1035,1,54,Reinforcement_Learning
18313,1,37,Reinforcement_Learning
815073,4,13,Neural_Networks
6910,4,6,Neural_Networks
212777,5,1,Rule_Learning
134315,2,19,Probabilistic_Methods
129558,6,12,Case_Based
151708,4,21,Neural_Networks
1153287,7,4,Reinforcement_Learning
7022,4,14,Neural_Networks
1119742,0,3,Probabilistic_Methods
28350,7,2,Reinforcement_Learning
1128978,1,54,Genetic_Algorithms
1117760,7,2,Reinforcement_Learning
1105531,2,3,Probabilistic_Methods
126912,4,3,Probabilistic_Methods
49720,0,98,Probabilistic_Methods
1131607,0,16,Probabilistic_Methods
49844,5,1,Rule_Learning
350362,5,5,Theory
206371,1,54,Genetic_Algorithms
59798,4,14,Neural_Networks
1107319,3,5,Theory
38537,2,11,Probabilistic_Methods
20193,6,18,Case_Based
1107455,7,2,Reinforcement_Learning
6163,7,2,Reinforcement_Learning
192850,3,1,Theory
763010,4,14,Neural_Networks
117315,1,54,Genetic_Algorithms
346292,4,6,Neural_Networks
1153943,1,54,Genetic_Algorithms
368657,0,49,Neural_Networks
43698,3,0,Neural_Networks
520471,5,1,Rule_Learning
682815,1,54,Genetic_Algorithms
27632,7,2,Reinforcement_Learning
1153853,1,54,Genetic_Algorithms
158812,1,37,Neural_Networks
31083,5,1,Theory
644427,2,11,Probabilistic_Methods
1114184,0,36,Neural_Networks
1129494,0,70,Neural_Networks
1121569,0,36,Neural_Networks
1105932,5,1,Rule_Learning
1120211,4,14,Neural_Networks
1118388,6,18,Case_Based
278394,0,16,Neural_Networks
260979,4,14,Theory
48550,4,9,Neural_Networks
82098,1,14,Genetic_Algorithms
36162,4,1,Probabilistic_Methods
54129,1,54,Genetic_Algorithms
590022,2,3,Probabilistic_Methods
1110947,5,1,Case_Based
594543,1,54,Genetic_Algorithms
35070,5,1,Case_Based
1107367,6,18,Case_Based
229635,1,54,Genetic_Algorithms
18251,6,2,Case_Based
1152358,1,54,Genetic_Algorithms
23507,4,14,Neural_Networks
1107728,0,10,Neural_Networks
643221,2,11,Probabilistic_Methods
102939,0,38,Neural_Networks
175548,4,9,Neural_Networks
226698,4,14,Neural_Networks
6639,5,1,Rule_Learning
1112665,5,1,Neural_Networks
28851,1,54,Genetic_Algorithms
817774,0,93,Neural_Networks
1153891,6,18,Case_Based
36140,5,24,Theory
37884,2,3,Probabilistic_Methods
1137466,1,54,Genetic_Algorithms
630890,0,13,Neural_Networks
1131236,2,11,Probabilistic_Methods
33013,2,3,Reinforcement_Learning
82087,4,14,Genetic_Algorithms
4804,3,5,Theory
133628,0,97,Theory
672070,4,21,Neural_Networks
397488,1,54,Genetic_Algorithms
1131420,0,31,Neural_Networks
753070,4,9,Theory
367312,0,30,Neural_Networks
1121057,5,1,Case_Based
561568,2,11,Probabilistic_Methods
141347,1,54,Genetic_Algorithms
69418,4,21,Neural_Networks
182094,1,54,Genetic_Algorithms
644334,2,11,Probabilistic_Methods
167205,0,23,Rule_Learning
1153262,3,3,Probabilistic_Methods
1121176,6,18,Case_Based
593328,1,54,Genetic_Algorithms
65650,3,5,Theory
220420,1,54,Genetic_Algorithms
646837,1,54,Genetic_Algorithms
1107567,3,5,Theory
239800,4,21,Theory
626531,0,66,Probabilistic_Methods
289781,1,54,Genetic_Algorithms
662416,4,6,Probabilistic_Methods
1128256,5,1,Theory
646900,1,54,Genetic_Algorithms
8832,5,24,Case_Based
39126,5,1,Probabilistic_Methods
1112723,4,21,Neural_Networks
116084,5,1,Rule_Learning
27174,4,14,Neural_Networks
239810,5,1,Case_Based
1117219,4,6,Neural_Networks
1115291,2,42,Probabilistic_Methods
230879,0,16,Neural_Networks
523574,2,42,Probabilistic_Methods
6215,7,2,Reinforcement_Learning
1123188,4,6,Neural_Networks
87482,0,32,Neural_Networks
1126037,4,14,Neural_Networks
1109830,0,34,Neural_Networks
1120020,7,2,Reinforcement_Learning
1128927,5,1,Rule_Learning
18773,5,12,Probabilistic_Methods
307656,1,54,Genetic_Algorithms
684372,4,21,Neural_Networks
395547,4,13,Neural_Networks
1132285,3,5,Theory
1113828,4,21,Neural_Networks
13972,7,2,Reinforcement_Learning
1132815,5,1,Neural_Networks
1108570,0,97,Theory
463825,5,1,Theory
10793,0,21,Theory
753264,4,9,Theory
56709,1,41,Genetic_Algorithms
31769,4,14,Neural_Networks
976334,7,2,Reinforcement_Learning
34082,0,53,Probabilistic_Methods
1128846,4,14,Neural_Networks
579008,1,54,Genetic_Algorithms
8703,6,25,Rule_Learning
964248,5,24,Probabilistic_Methods
25181,4,14,Neural_Networks
1103610,5,5,Theory
1125467,5,1,Probabilistic_Methods
641976,4,21,Neural_Networks
1154276,4,21,Neural_Networks
11148,0,23,Rule_Learning
1106406,7,2,Reinforcement_Learning
168332,1,2,Reinforcement_Learning
1153101,5,12,Rule_Learning
594511,1,54,Genetic_Algorithms
14083,2,11,Neural_Networks
334153,5,24,Theory
20593,5,24,Neural_Networks
634902,1,54,Genetic_Algorithms
46079,1,54,Genetic_Algorithms
210872,1,54,Genetic_Algorithms
206259,7,2,Reinforcement_Learning
2665,0,16,Neural_Networks
74937,0,67,Neural_Networks
1130653,6,18,Case_Based
643734,0,14,Neural_Networks
68463,5,1,Rule_Learning
1114512,5,12,Rule_Learning
51049,2,42,Probabilistic_Methods
1117786,5,1,Rule_Learning
594387,1,54,Genetic_Algorithms
137849,2,42,Probabilistic_Methods
1111230,7,2,Reinforcement_Learning
178718,1,54,Genetic_Algorithms
1136040,0,8,Neural_Networks
1110515,1,54,Genetic_Algorithms
3191,2,42,Probabilistic_Methods
390894,4,3,Probabilistic_Methods
8619,1,5,Neural_Networks
415693,1,54,Genetic_Algorithms
28641,3,5,Theory
1104435,0,86,Probabilistic_Methods
137380,5,14,Rule_Learning
17242,2,42,Probabilistic_Methods
6771,3,1,Theory
340078,4,21,Neural_Networks
1949,6,12,Case_Based
1120880,0,61,Neural_Networks
1131752,1,54,Genetic_Algorithms
1133008,0,102,Neural_Networks
1129570,1,54,Genetic_Algorithms
109323,2,42,Probabilistic_Methods
126793,2,11,Probabilistic_Methods
68495,3,5,Theory
95588,7,2,Reinforcement_Learning
1122642,0,32,Neural_Networks
2354,7,4,Theory
124064,7,2,Reinforcement_Learning
1117348,2,21,Neural_Networks
62389,5,1,Case_Based
1109566,1,26,Theory
1107861,5,5,Theory
91852,6,12,Case_Based
263486,5,12,Rule_Learning
1126044,4,16,Neural_Networks
428610,4,21,Neural_Networks
49843,5,1,Rule_Learning
31336,3,0,Neural_Networks
28487,7,2,Reinforcement_Learning
594483,0,50,Genetic_Algorithms
41666,3,21,Theory
686061,7,2,Theory
503871,1,54,Genetic_Algorithms
647408,1,54,Genetic_Algorithms
12631,4,6,Neural_Networks
61073,1,54,Genetic_Algorithms
7430,7,4,Reinforcement_Learning
1125992,5,24,Case_Based
1110438,5,21,Neural_Networks
1131150,4,21,Neural_Networks
60682,5,1,Case_Based
278403,0,16,Neural_Networks
1131719,0,23,Rule_Learning
1117942,7,2,Reinforcement_Learning
594039,0,54,Genetic_Algorithms
93923,5,1,Rule_Learning
1132083,4,6,Neural_Networks
754594,0,8,Neural_Networks
28489,7,2,Reinforcement_Learning
39127,5,1,Rule_Learning
1959,6,12,Case_Based
711527,5,24,Theory
27243,5,5,Theory
1103016,2,11,Neural_Networks
646412,0,52,Probabilistic_Methods
1129518,2,3,Probabilistic_Methods
531351,2,25,Probabilistic_Methods
1132731,1,54,Genetic_Algorithms
1119180,6,18,Case_Based
66794,2,3,Probabilistic_Methods
193354,0,23,Rule_Learning
33904,1,54,Genetic_Algorithms
1129243,7,2,Reinforcement_Learning
1152379,3,1,Theory
42156,4,14,Neural_Networks
75694,0,37,Reinforcement_Learning
171225,4,14,Neural_Networks
51866,6,25,Theory
59244,6,25,Case_Based
30934,7,2,Theory
200630,0,14,Neural_Networks
1139009,0,94,Neural_Networks
85452,5,1,Theory
578337,0,16,Neural_Networks
763009,4,14,Neural_Networks
1154169,4,14,Neural_Networks
74700,2,19,Probabilistic_Methods
375605,1,54,Genetic_Algorithms
49660,5,1,Theory
671293,4,1,Probabilistic_Methods
1116181,7,2,Theory
739280,0,30,Neural_Networks
227286,4,21,Neural_Networks
1132864,2,3,Probabilistic_Methods
1022969,6,12,Case_Based
118558,4,38,Reinforcement_Learning
210871,1,54,Genetic_Algorithms
25794,5,1,Neural_Networks
1106568,4,21,Neural_Networks
1953,6,12,Case_Based
1118083,4,16,Neural_Networks
6125,3,5,Theory
1131301,2,11,Probabilistic_Methods
1111788,5,24,Theory
1128985,1,54,Genetic_Algorithms
22875,6,1,Case_Based
1104999,1,41,Genetic_Algorithms
97377,5,24,Theory
135766,5,1,Rule_Learning
62347,4,14,Reinforcement_Learning
1102761,5,1,Case_Based
751408,0,16,Neural_Networks
646286,2,11,Probabilistic_Methods
170338,0,37,Reinforcement_Learning
1104749,0,60,Genetic_Algorithms
7272,4,14,Neural_Networks
421481,0,44,Probabilistic_Methods
20601,3,5,Theory
368605,0,32,Neural_Networks
1103960,1,54,Genetic_Algorithms
38205,1,54,Genetic_Algorithms
779960,0,29,Neural_Networks
337766,6,12,Case_Based
93318,7,2,Neural_Networks
1128959,1,41,Genetic_Algorithms
246618,1,54,Genetic_Algorithms
950986,4,13,Neural_Networks
9586,0,68,Genetic_Algorithms
20528,5,2,Case_Based
1108329,7,12,Case_Based
1131421,0,31,Neural_Networks
69284,1,54,Genetic_Algorithms
1128291,1,54,Genetic_Algorithms
51180,3,5,Theory
350373,5,24,Theory
1152564,6,12,Case_Based
39890,2,42,Probabilistic_Methods
1138043,3,0,Theory
1136342,1,54,Genetic_Algorithms
242637,4,9,Neural_Networks
153063,2,11,Probabilistic_Methods
24966,4,21,Theory
3097,6,12,Case_Based
120084,4,16,Neural_Networks
16485,4,9,Neural_Networks
32698,4,21,Probabilistic_Methods
503877,1,54,Genetic_Algorithms
134128,7,2,Reinforcement_Learning
102884,3,5,Theory
714975,2,42,Probabilistic_Methods
39131,5,1,Case_Based
887,7,2,Genetic_Algorithms
1153003,5,32,Neural_Networks
1131634,4,9,Neural_Networks
1114629,7,2,Reinforcement_Learning
1105221,1,41,Genetic_Algorithms
219446,1,37,Neural_Networks
1109542,5,21,Probabilistic_Methods
114308,7,4,Reinforcement_Learning
37879,4,3,Probabilistic_Methods
6923,5,1,Rule_Learning
594649,1,54,Genetic_Algorithms
33301,6,12,Case_Based
385067,6,18,Case_Based
1117833,6,12,Case_Based
1140543,4,16,Neural_Networks
1105011,4,21,Probabilistic_Methods
49847,5,1,Rule_Learning
13658,1,26,Neural_Networks
820662,3,0,Theory
259772,6,12,Case_Based
1119505,1,54,Genetic_Algorithms
28632,3,5,Theory
1116835,4,21,Neural_Networks
449841,5,1,Rule_Learning
575795,1,54,Genetic_Algorithms
2695,4,16,Neural_Networks
1126503,5,1,Case_Based
1034,1,54,Genetic_Algorithms
28447,6,18,Case_Based
1132416,0,79,Neural_Networks
87363,1,54,Genetic_Algorithms
395725,6,9,Neural_Networks
1114192,4,16,Neural_Networks
79817,2,42,Probabilistic_Methods
6814,2,3,Probabilistic_Methods
56708,1,41,Reinforcement_Learning
1127812,1,37,Neural_Networks
36145,1,5,Neural_Networks
1131165,2,42,Probabilistic_Methods
32276,4,21,Theory
2440,5,1,Rule_Learning
5055,5,5,Theory
1116530,2,37,Probabilistic_Methods
52784,5,5,Theory
340075,4,14,Neural_Networks
1121313,6,12,Case_Based
440815,2,11,Probabilistic_Methods
1140548,4,14,Neural_Networks
1131348,0,36,Neural_Networks
1153031,3,3,Neural_Networks
1102794,0,90,Rule_Learning
372862,5,1,Rule_Learning
190698,1,54,Neural_Networks
686532,3,0,Neural_Networks
6334,5,1,Case_Based
686015,7,2,Neural_Networks
26850,4,14,Neural_Networks
1132157,5,12,Probabilistic_Methods
285675,4,21,Neural_Networks
1154251,4,14,Neural_Networks
1120431,1,26,Neural_Networks
1135750,3,0,Neural_Networks
49811,5,1,Theory
711994,0,77,Neural_Networks
83725,1,41,Genetic_Algorithms
1107067,5,1,Case_Based
228992,0,87,Neural_Networks
310530,6,12,Case_Based
189623,2,3,Probabilistic_Methods
696342,0,16,Neural_Networks
212107,0,45,Probabilistic_Methods
1127541,2,11,Neural_Networks
1106546,2,19,Probabilistic_Methods
70281,5,1,Neural_Networks
108974,2,3,Probabilistic_Methods
17821,1,57,Reinforcement_Learning
286500,1,9,Genetic_Algorithms
3828,6,12,Case_Based
182093,1,54,Reinforcement_Learning
1117249,3,5,Theory
348437,5,1,Theory
12439,4,24,Neural_Networks
633721,4,6,Probabilistic_Methods
562940,5,1,Rule_Learning
593813,1,54,Genetic_Algorithms
633081,4,6,Probabilistic_Methods
9716,3,3,Theory
1114502,1,54,Genetic_Algorithms
948147,4,13,Neural_Networks
17201,7,3,Reinforcement_Learning
1115375,0,16,Neural_Networks
312409,2,11,Neural_Networks
239829,5,24,Case_Based
195361,7,2,Reinforcement_Learning
3235,5,12,Probabilistic_Methods
1116569,4,21,Neural_Networks
1114777,6,18,Case_Based
116528,5,21,Theory
1129096,7,2,Reinforcement_Learning
167656,5,12,Theory
1134346,2,42,Probabilistic_Methods
1129040,0,50,Genetic_Algorithms
1115701,4,37,Probabilistic_Methods
1119671,4,37,Neural_Networks
1152944,1,2,Reinforcement_Learning
1114992,4,9,Neural_Networks
145176,4,21,Neural_Networks
566488,6,18,Case_Based
259701,1,54,Genetic_Algorithms
6925,3,5,Neural_Networks
1136447,4,14,Neural_Networks
1125944,2,25,Case_Based
39130,5,24,Case_Based
509379,5,1,Theory
1153264,5,1,Theory
1153896,0,54,Genetic_Algorithms
1104809,0,35,Neural_Networks
645571,2,11,Probabilistic_Methods
20924,6,37,Probabilistic_Methods
145134,4,21,Neural_Networks
40605,4,6,Probabilistic_Methods
27241,5,1,Theory
52000,0,35,Neural_Networks
643597,4,6,Probabilistic_Methods
121792,0,64,Neural_Networks
61417,5,1,Rule_Learning
101662,5,1,Theory
50980,0,7,Case_Based
263069,1,54,Genetic_Algorithms
89416,2,19,Probabilistic_Methods
148170,1,54,Genetic_Algorithms
592973,1,54,Genetic_Algorithms
385251,3,5,Theory
646357,2,11,Probabilistic_Methods
20833,5,1,Case_Based
8872,1,54,Reinforcement_Learning
97645,1,54,Genetic_Algorithms
28278,7,2,Reinforcement_Learning
83461,5,1,Rule_Learning
1102625,5,1,Case_Based
47684,5,14,Case_Based
28412,5,24,Reinforcement_Learning
79809,2,42,Theory
1114352,4,21,Neural_Networks
142268,2,19,Probabilistic_Methods
33895,1,54,Genetic_Algorithms
45212,7,2,Neural_Networks
3192,2,42,Probabilistic_Methods
308529,1,41,Reinforcement_Learning
1120650,5,1,Rule_Learning
1128267,7,2,Reinforcement_Learning
1103394,5,24,Case_Based
60169,4,42,Neural_Networks
218410,7,2,Reinforcement_Learning
504,2,19,Probabilistic_Methods
1127810,4,14,Neural_Networks
174425,4,21,Theory
67245,4,14,Neural_Networks
13960,7,2,Reinforcement_Learning
1134197,0,77,Neural_Networks
1153900,1,54,Genetic_Algorithms
14431,0,53,Probabilistic_Methods
459206,1,54,Genetic_Algorithms
44017,5,24,Theory
643695,4,6,Probabilistic_Methods
1122704,0,16,Neural_Networks
1103979,4,21,Neural_Networks
1113438,1,54,Genetic_Algorithms
642681,2,11,Probabilistic_Methods
1112650,2,19,Probabilistic_Methods
589923,2,3,Probabilistic_Methods
1123867,5,1,Theory
782486,4,2,Neural_Networks
8687,5,1,Rule_Learning
12169,3,5,Theory
